URL,ACTIVE,NEW_URL
http://10.134.116.110:7990/rest/api/1.0,NOT REACHABLE,
http://123.456.1.4:1128,INVALID,
http://192.168.1.1:8081/artifactory,NOT REACHABLE,
http://accuwork:8080/accurev/issue/,INVALID,
http://alm-help.saas.hpe.com/en/12.50/online_help/Content/api_guides_main_page.htm,NOT REACHABLE,
http://ant.apache.org/manual/index.html,YES,
http://api.ng.bluemix.net,YES,
http://asperasoft.com/technology/transport/fasp/,NOT REACHABLE,
http://bugs.company.com/browse/,NOT REACHABLE,
http://developer.ibm.com/urbancode/docs/frequently-asked-questions-ibm-urbancode-deploy-solutions-websphere-application-server/,YES,
http://developer.ibm.com/urbancode/plugin/tfs-source-config/,YES,
http://developer.ibm.com/urbancode/plugindoc/ibmucd/ibm-configure/1-2/example-processes/websphere-example-5-discover-templatize-cluster-configuration-data-only-multiplicity/,YES,
http://developer.ibm.com/urbancode/plugindoc/ibmucd/iis-configuration/1-2/,YES,
http://downloads.asperasoft.com/en/downloads/8?list,NOT REACHABLE,
http://example.server.com:8080,NOT REACHABLE,
http://fortify.example.com:8080,NOT REACHABLE,
http://hostname:8081,INVALID,
http://ibm-ucd.domain.com:8080,NOT REACHABLE,
http://localhost:3128,NOT REACHABLE,
http://localhost:8081,NOT REACHABLE,
http://localhost:8081/nexus,NOT REACHABLE,
http://localhost:9300/p2pd/servlet/dispatch,NOT REACHABLE,
http://myhost10:7001,INVALID,
http://pic.dhe.ibm.com/infocenter/sr/v8r0/index.jsp,YES,
http://public.dhe.ibm.com/software/mobile-solutions/worklight/docs/v610/11_01_Using_Rational_Team_Concert_to_build_your_applications.pdf,YES,
http://rpm5.org/docs/rpm-guide.html,YES,
http://SERVER:PORT/repository/REPOSITORY_NAME/,INVALID,
http://server.example.com:8081/artifactory,NOT REACHABLE,
http://tfs.domain.com:8080,NOT REACHABLE,
http://tfs.example.com:8080/tfs,NOT REACHABLE,
http://www-01.ibm.com/support/docview.wss?uid=swg21587193,YES,
http://www-01.ibm.com/support/docview.wss?uid=swg24042652,YES,
http://www-01.ibm.com/support/knowledgecenter/,YES,
http://www-01.ibm.com/support/knowledgecenter/SS4GCC_6.1.1/com.ibm.urelease.doc/topics/t_importingtoinitiatives.html?lang=en-,YES,
http://www-01.ibm.com/support/knowledgecenter/SS4GSP_6.1.1/com.ibm.udeploy.doc/topics/comp_create.html,NO 404,
http://www-01.ibm.com/support/knowledgecenter/SS4GSP_6.1.1/com.ibm.udeploy.doc/topics/comp_properties.html,NO 404,
http://www-01.ibm.com/support/knowledgecenter/SS4GSP_6.1.1/com.ibm.udeploy.doc/topics/ud_properties_overview.html,NO 404,
http://www-01.ibm.com/support/knowledgecenter/SS4GSP_6.1.2/com.ibm.udeploy.install.doc/topics/agent_install_winrs.html,NO 404,
http://www-01.ibm.com/support/knowledgecenter/SS4GSP_6.2.1/com.ibm.udeploy.doc/topics/comp_create.html,YES,
http://www-01.ibm.com/support/knowledgecenter/SS4GSP_6.2.1/com.ibm.udeploy.doc/topics/zos_installing_finish.html?lang=en,YES,
http://www-01.ibm.com/support/knowledgecenter/SS4GSP_7.0.2/com.ibm.udeploy.doc/topics/comp_create.html,YES,
http://www-01.ibm.com/support/knowledgecenter/SS4GSP_7.1.1/com.ibm.udeploy.doc/topics/comp_template_using.html,YES,
http://www-01.ibm.com/support/knowledgecenter/SS4GSP_7.2.0/com.ibm.udeploy.doc/topics/ud_properties_overview.html,YES,
http://www-01.ibm.com/support/knowledgecenter/SSEPH2_13.1.0/com.ibm.ims13.doc.cr/imscmds/ims_updatepgm.htm,NOT REACHABLE,
http://www-01.ibm.com/support/knowledgecenter/SSEPH2_13.1.0/com.ibm.ims13.doc.cr/imscmdsintro/ims_overview.htm,YES,
http://www-01.ibm.com/support/knowledgecenter/SSEPH2_13.1.0/com.ibm.ims13.doc.msgs/common/mc.htm,YES,
http://www-01.ibm.com/support/knowledgecenter/SSGMCP_5.2.0/com.ibm.cics.ts.doc/topics/reference_sysprog.html,YES,
http://www.google.com,YES,
http://www.groovy-lang.org/,YES,
http://www.ibm.com/developerworks/rational/library/worklight-mobile-devops/index.html,YES,
http://www.ibm.com/software/reports/compatibility/clarity-reports/report/html/softwareReqsForProduct?deliverableId=2406E700824311E5AB634073CD75C1C8&duComponentIds=Miscellaneous_24267CF0824311E5AB634073CD75C1C8,YES,
http://www.ibm.com/support/docview.wss?uid=swg21451423,NO 404,
http://www.ibm.com/support/docview.wss?uid=swg21660300,YES,
http://www.ibm.com/support/knowledgecenter/SS4GCC_6.1.1/com.ibm.urelease.doc/topics/settings_plugins.html,YES,
http://www.ibm.com/support/knowledgecenter/SS4GCC_6.1.2/com.ibm.urelease.doc/topics/rtcintegrat_cpt.html,NOT REACHABLE,
http://www.ibm.com/support/knowledgecenter/SS4GSP_6.1.0/com.ibm.udeploy.reference.doc/topics/ud_properties_using.html,NOT REACHABLE,
http://www.ibm.com/support/knowledgecenter/SS4GSP_6.1.1/com.ibm.udeploy.doc/topics/comp_create.html,NO 404,
http://www.ibm.com/support/knowledgecenter/SS4GSP_6.1.1/com.ibm.udeploy.doc/topics/comp_template.html,NO 404,
http://www.ibm.com/support/knowledgecenter/SS4GSP_6.2.2/com.ibm.udeploy.doc/topics/zos_shiplistfiles.html,NOT REACHABLE,
http://www.ibm.com/support/knowledgecenter/SS4GSP/ucd_welcome.html,YES,
http://www.ibm.com/support/knowledgecenter/SS8NMD_6.1.2/com.ibm.ucbuild.doc/topics/settings_project_repo_cpt.html,YES,
http://www.ibm.com/support/knowledgecenter/SSAW57_8.5.5/com.ibm.websphere.nd.doc/ae/txml_script.html,YES,
http://www.ibm.com/support/knowledgecenter/SSMKHH_10.0.0/com.ibm.etools.mft.doc/au20102_.htm,YES,
http://www.ibm.com/systems/z/os/zos/tools/java/products/sdk71jcecca.html,YES,
http://www.urbancode.com/resource/installing-plug-ins-in-urbancode-products/,YES,
